"76","2018-06-05","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","Yamaha vleuelklavier met oortreksel",,,"180000",,,"CTYGER4401"
"77","2018-06-05","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","Yamaha FC5 Klawerbordpakket met peavy amp","ETBNN01015",,"15000",,,"CTYGER4401"
"78","2018-06-06","Auction Road","00148000008686","10-12 Auction Road, Diamant Park Kimberley South Africa 8301","bldg","Building. Sink Roof. Brick walls",,"3500000","572195",,,"CAUCTI3101"
"79","2018-06-06","Ngculu",,"Ngculu locaction Ngqamakwe 4990","allrisk"," Buildings by blocks",,"250000","35000",,,"CNGCUL801"
"80","2018-06-06","Ngculu",,"South Africa","allrisk",,,,,,,"CNGCUL801"
"81","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","samsung rekenaar 2.4GH2 intel celeron 120GB HDD, 1.44SD DVD-RW keyboard, mouse,17""monitor",,,"6000",,,"CTYGER4401"
"82","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","Seagate Firecuda 1TB Hybrid Hard Drive",,,"1800",,,"CTYGER4401"
"83","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","INTEL CI5 7400 3.0GHZ LGA 1151
H110 MOTHERBOARD LGA1151
HARD DRIVE 1TB DESKTOP
DVD WRITER SATA
MATRIX ENTRY ATX CASE WITH 450
MEMORY 8GB DDR4 2400MHZ DESKTO",,,"8000",,,"CTYGER4401"
"84","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","4 DBX active DI box",,,"4000",,,"CTYGER4401"
"85","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","Beringer ZENYX x 1622 USB","51101718AOJ",,"4000",,,"CTYGER4401"
"86","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","2 x CO2 pencil condencer microphones",,,"2500",,,"CTYGER4401"
"87","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","Samsung monitor","ZYN6H4LD607110B",,"1700",,,"CTYGER4401"
"88","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","Acer monitor","ETL540900461100159PQ00",,"1700",,,"CTYGER4401"
"89","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","Acer monitor","ETL460C263841DC33A404E",,"1700",,,"CTYGER4401"
